Film_ID,Film_Title,Title_ID,Title_Name,Theatrical_Release_Date,Film_Runtime,Language,Market_Language,Release_Pattern,Performance_Type,Is_IMAX,Is_DBOX_Capable,Release_Status,Media_Class_Description,Is_4Dx,Genre_Hierarchy_1
32814,A Fire in the Cold Season ,35158,A Fire in the Cold Season ,10/2/2020,94,English,English,Ltd,Alt Prog Film Event,0,0,B,Adult,0,Unknown
32813,Twiceborn (Japanese w/e.s.t.) ,35157,Twiceborn (Japanese w/e.s.t.) ,10/16/2020,135,Japanese,English,Wide,Film Presentation,0,0,B,Adult,0,Unknown
32812,Akira ? The IMAX Experience? (Japanese w/e.s.t.),35152,Akira - Special Presentation in 4K (Japanese w/e.s.t.),12/31/9999,124,Japanese,English,Ltd,Alt Prog Film Event,1,0,B,Adult,0,Adaptation
32811,Akira ? The IMAX Experience? (Japanese w/e.s.t.),35152,Akira - Special Presentation in 4K (Japanese w/e.s.t.),9/18/2020,124,Japanese,English,Ltd,Film Presentation,1,0,B,Adult,0,Adaptation
32810,On The Rocks,35156,On The Rocks,10/2/2020,96,English,English,Ltd,FRCE Feature Release,0,0,B,Adult,0,Drama
32809,Wrath Of Man,35155,Wrath Of Man,12/31/9999,999,English,English,Wide,Film Presentation,0,0,B,None,0,Action
32808,Wrath Of Man,35154,Wrath Of Man,1/15/2021,999,English,English,Wide,Film Presentation,0,0,B,None,0,Action
32807,Honest Thief,35153,Honest Thief,10/9/2020,99,English,English,Wide,Film Presentation,0,0,B,Adult,0,Action
32806,t '85,35151,t '85,11/13/2020,100,French,French,Ltd,Film Presentation,0,0,B,None,0,Drama
32805,Les vieux chums,35150,Les vieux chums,11/6/2020,999,French,French,Wide,Film Presentation,0,0,B,None,0,Unknown
32804,Terrible jungle,35149,Terrible jungle,10/30/2020,91,French,French,Ltd,Film Presentation,0,0,B,None,0,Comedy
32803,Jiang Ziya (Mandarin w/Chinese & English s.t.),35148,Jiang Ziya (Mandarin w/Chinese & English s.t.),10/1/2020,110,Mandarin,English,Wide,Film Presentation,0,0,B,Adult,0,Action
32802,Raphael Revealed,35147,Raphael Revealed,1/29/2021,90,English,English,Ltd,Documentary,0,0,B,None,0,Documentary
