CINEPLEX_D_Membership_ID,Visit_Date_count,Visit_Date_min,Visit_Date_max,Visit_Date_Week_min,Visit_Date_Week_max,Visit_TimeSlice_ID_min,Visit_TimeSlice_ID_mean,Visit_TimeSlice_ID_mode,Visit_TimeSlice_ID_max,TimeSlice_ID_mean,TimeSlice_ID_max,TimeSlice_ID_mode,Location_ID_nunique,Location_ID_mode,City_nunique,City_mode,Auditorium_Experience_ID_nunique,Auditorium_Experience_ID_mode,Seating_Experience_ID_nunique,Seating_Experience_ID_mode,Sales_Channel_ID_nunique,Sales_Channel_ID_mode,Performance_Experience_ID_nunique,Performance_Experience_ID_mode,Performance_Type_ID_nunique,Performance_Type_ID_mode,Film_ID_nunique,Film_ID_mode,Film_Runtime_mean,Film_Runtime_max,Is_VIP_mean,Is_VIP_max,Language_mode,Genre_Hierarchy_1_nunique,Genre_Hierarchy_1_mode,Spend_min,Spend_mean,Spend_max,Spend_sum,Discount_mean,Has_US_Is_LrgPopcorn_sum,Has_US_Is_LrgPopcorn_mean,Has_US_Is_LrgPopcorn_max,Has_US_Is_Butter_sum,Has_US_Is_Butter_mean,Has_US_Is_Butter_max,Has_US_Is_Alcohol_sum,Has_US_Is_Alcohol_mean,Has_US_Is_Alcohol_max,Has_US_Is_Candy_sum,Has_US_Is_Candy_mean,Has_US_Is_Candy_max,Has_US_Is_Kiddietray_sum,Has_US_Is_Kiddietray_mean,Has_US_Is_Kiddietray_max,Has_US_Is_Voucher_sum,Has_US_Is_Voucher_mean,Has_US_Is_Voucher_max,Has_US_Is_MenuFood_sum,Has_US_Is_MenuFood_mean,Has_US_Is_MenuFood_max,Has_US_Is_Coffee_sum,Has_US_Is_Coffee_mean,Has_US_Is_Coffee_max,CINEPLEX_Item_ID_count,CINEPLEX_Item_ID_nunique,CINEPLEX_Item_ID_mode,CINEPLEX_Item_Description_mode,US_Is_LrgPopcorn_sum,US_Is_LrgPopcorn_mean,US_Is_Butter_sum,US_Is_Butter_mean,US_Is_Alcohol_sum,US_Is_Alcohol_mean,US_Is_Candy_sum,US_Is_Candy_mean,US_Is_Kiddietray_sum,US_Is_Kiddietray_mean,US_Is_Voucher_sum,US_Is_Voucher_mean,US_Is_MenuFood_sum,US_Is_MenuFood_mean,US_Is_Coffee_sum,US_Is_Coffee_mean
5342738,34,2019-02-09,2019-12-28,5,51,14,25.44117647,26,33,25.44117647,33,26,2,5103,2,Sydney,2,1,4,1,3,8,3,1,3,1,28,0,95.94117647,182,0,0,English,10,Comedy,10.49,32.26941176,99.66,1097.16,3.592647059,0,0,0,0,0,0,0,0,0,13,0.382352941,1,13,0.382352941,1,0,0,0,1,0.029411765,1,0,0,0,231,24,0,<Unknown>,0,0,0,0,0,0,17,0.073593074,15,0.064935065,0,0,1,0.004329004,0,0
7704526,33,2019-02-09,2019-12-19,5,50,14,27.15151515,28,35,27.15151515,35,28,6,7405,3,Richmond Hill,5,2,3,2,2,8,5,1,3,1,22,0,98.42424242,202,0.151515152,1,English,8,Unknown,4.69,36.90636364,116.91,1217.91,4.104545455,1,0.03030303,1,0,0,0,0,0,0,10,0.303030303,1,2,0.060606061,1,0,0,0,15,0.454545455,1,0,0,0,191,22,0,<Unknown>,1,0.005235602,0,0,0,0,10,0.052356021,2,0.010471204,0,0,16,0.083769634,0,0
3964152,33,2019-01-02,2019-12-30,0,52,21,26.3030303,26,29,26.3030303,29,26,2,6161,2,West Royalty,3,1,4,1,1,8,3,1,2,1,33,0,120.8787879,182,0,0,English,7,Action,0,30.07787879,97.68,992.57,3.343636364,5,0.151515152,1,0,0,0,0,0,0,7,0.212121212,1,0,0,0,5,0.151515152,1,0,0,0,0,0,0,164,21,0,<Unknown>,6,0.036585366,0,0,0,0,7,0.042682927,0,0,6,0.036585366,0,0,0,0
2529839,32,2019-01-12,2019-12-29,1,52,15,29.1875,32,34,29.1875,34,32,6,7123,5,Oakville,4,1,5,1,2,12,3,1,2,1,30,22997,131.03125,182,0.6875,1,Hindi,7,Drama,6.49,24.3384375,43.54,778.83,2.706875,0,0,0,1,0.03125,1,0,0,0,4,0.125,1,2,0.0625,1,0,0,0,15,0.46875,1,3,0.09375,1,111,17,0,<Unknown>,0,0,1,0.009009009,0,0,5,0.045045045,3,0.027027027,0,0,18,0.162162162,3,0.027027027
9698679,32,2019-01-05,2019-12-30,0,52,14,27.84375,32,34,27.84375,34,32,1,7265,1,North Bay,2,1,4,1,3,8,3,1,2,1,19,22997,126.40625,182,0,0,English,6,Action,5.69,31.2271875,119.96,999.27,3.469375,1,0.03125,1,2,0.0625,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.09375,1,0,0,0,116,14,0,<Unknown>,1,0.00862069,2,0.017241379,0,0,0,0,0,0,0,0,4,0.034482759,0,0
6828406,32,2019-01-08,2019-10-08,1,40,11,26.78125,27,33,26.78125,33,27,4,7311,2,Ottawa,5,1,3,1,4,8,4,1,2,1,23,0,112.3125,182,0.78125,1,English,8,Adaptation,4.99,27.1115625,88.44,867.57,3.0125,2,0.0625,1,0,0,0,0,0,0,14,0.4375,1,0,0,0,0,0,0,2,0.0625,1,1,0.03125,1,126,21,0,<Unknown>,2,0.015873016,0,0,0,0,14,0.111111111,0,0,0,0,2,0.015873016,1,0.007936508
4916447,32,2019-01-10,2019-12-09,1,49,18,28.875,27,39,28.875,39,27,6,1422,2,Vancouver,2,1,2,1,3,8,2,1,2,1,28,0,106.25,172,0.03125,1,English,7,Drama,0,8.875,26.64,284,0.9859375,1,0.03125,1,1,0.03125,1,0,0,0,3,0.09375,1,0,0,0,0,0,0,0,0,0,0,0,0,47,11,0,<Unknown>,1,0.021276596,1,0.021276596,0,0,4,0.085106383,0,0,0,0,0,0,0,0
1463239,32,2019-01-01,2019-12-29,0,52,13,25.90625,28,34,25.90625,34,28,4,9109,1,MontrÂal,3,1,3,1,5,8,2,1,1,1,32,22997,119.46875,182,0,0,English,6,Drama,5.87,29.1315625,69.95,932.21,3.235625,2,0.0625,1,0,0,0,0,0,0,10,0.3125,1,6,0.1875,1,0,0,0,1,0.03125,1,4,0.125,1,140,23,0,<Unknown>,2,0.014285714,0,0,0,0,10,0.071428571,6,0.042857143,0,0,1,0.007142857,4,0.028571429
1200434,32,2019-01-04,2019-12-23,0,51,13,23.375,26,30,23.375,30,26,4,7272,3,Guelph,2,1,3,1,4,2,2,1,1,1,29,22999,125.375,182,0.0625,1,English,6,Adaptation,0,9.385625,29.75,300.34,1.0434375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03125,1,0,0,0,0,0,0,42,4,0,<Unknown>,0,0,0,0,0,0,0,0,0,0,1,0.023809524,0,0,0,0
2185936,31,2019-01-02,2019-12-29,0,52,9,17.90322581,17,33,17.90322581,33,17,7,7402,3,Toronto,4,1,4,1,2,8,2,1,2,1,31,0,120.7096774,182,0.387096774,1,English,6,Drama,0,11.63935484,30.06,360.82,1.295806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5,0,<Unknown>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
