CINEPLEX_Item_ID,CINEPLEX_Item_Description,CINEPLEX_Item_Status,EIS_Group_Description,EIS_Sub_Group_Description,Item_Report_Code2,Item_Report_Code3,Item_Class_Description1,Item_Class_Description2,Item_Class_Description3,Is_Item_Package,Is_Box_Office_Item,US_Is_Butter,US_Is_Kiddietray,US_Is_Voucher,US_Is_LrgPopcorn,US_Is_Coffee,US_Is_Candy,US_Is_Alcohol,US_Is_MenuFood
99005,"*COMBO 1 - Lrg Corn, Lrg Drink, Lrg Candy (FR)",A,Popcorn,Popcorn,0,0,ATM-Conc-Voucher,0,0,0,0,0,0,0,0,0,0,0,0
99007,"*COMBO 2 - 2x Rg Corn, 2x Rg Drink, Lrg Candy",A,0,0,0,0,ATM-Conc-Voucher,0,0,0,0,0,0,0,0,0,0,0,0
99010,"*COMBO 3 - Lrg Corn, 2x Rg Drink, Lrg Candy",A,0,0,0,0,ATM-Conc-Voucher,0,0,0,0,0,0,0,0,0,0,0,0
99025,VHO CORN - VIP POPCORN SMALL 85oz,A,0,0,400 Cals,0,VHO-POPCORN,0,0,0,0,0,0,0,0,0,0,0,0
99043,VHO OT - CHURRO MINI (5),A,Food,Food,0,Y,VHO-OUTTAKES,0,0,0,0,0,0,0,0,0,0,0,1
99080,VHO CNDY - LIFESAVERS SOURS,A,0,0,0,0,VHO-CANDY,0,0,0,0,0,0,0,0,0,1,0,0
99108,VHO CBO - STUDENT REG/REG VOUCHER,A,0,0,0,0,ATM-Conc-Voucher,0,0,0,1,0,0,0,0,0,0,0,0
99111,VHO CNDY - CADBURY MINI EGGS,A,0,0,0,0,VHO-CANDY,0,0,0,0,0,0,0,0,0,1,0,0
99146,VHO LQ - APP - HOUSE MADE GUACAMOLE,A,0,0,(GF) (VG) 890 Cals,0,VHO-LICENSED FOOD,0,0,0,0,0,0,0,0,0,0,0,1
99206,VHO DRINK - BTL WATER BADOIT 330ML,A,Food,Food,0 Cals,0,VHO-DRINK,0,0,0,0,0,0,0,0,0,0,0,1
99219,VHO LQ - APP - COCONUT SHRIMP,A,0,0,470 Cals,0,VHO-LICENSED FOOD,0,0,0,0,0,0,0,0,0,0,0,1
99251,VHO LQ - TALL CAN BUDWEISER,A,0,0,0,Y,VHO-LICENSED DRINKS,0,0,0,0,0,0,0,0,0,0,1,0
99252,VHO LQ - TALL CAN BUD LIGHT,A,0,0,0,0,VHO-LICENSED DRINKS,0,0,0,0,0,0,0,0,0,0,1,0
99253,VHO LQ - TALL CAN MILL STREET ORGANIC,A,0,0,0,Y,VHO-LICENSED DRINKS,0,0,0,0,0,0,0,0,0,0,1,0
99254,VHO LQ - TALL CAN 1904 CIDER BRICKWORKS,A,0,0,0,0,VHO-LICENSED DRINKS,0,0,0,0,0,0,0,0,0,0,1,0
99358,VHO COFFEE - VIP DRIP PREM 12OZ,A,0,0,0,0,VHO-COFFEE,0,0,0,0,0,0,0,0,1,0,0,0
99359,VHO COFFEE - VIP DRIP PREM 16OZ,A,Food,0,0,0,VHO-COFFEE,0,0,0,0,0,0,0,0,1,0,0,0
99361,VHO COFFEE - VIP TEA BAG 16OZ,A,0,0,0,0,VHO-COFFEE,0,0,0,0,0,0,0,0,1,0,0,0
99408,VHO CBO CPN - CNO SINGLE NIGHT OUT (New ECNO),A,0,0,0,0,COUPONS,0,0,0,0,0,0,1,0,0,0,0,0
